original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;HasContrast
8,427;2338,681;168,819;18,306;0,729;0,923;0,261;0,863;0,66;0,912;0,904;0,995;0,981;-0,553;0,887;0,106;2,008;0,593;2,028;0,952;0,768;4,016;1,68;4,759;0
10,636;2992,714;199,635;22,212;0,693;0,94;0,253;0,853;0,626;0,91;0,905;0,995;0,981;-0,597;0,934;0,125;2,293;0,473;2,426;0,956;0,683;4,585;2,099;5,726;0
8,688;2451,642;171,209;18,409;0,732;0,924;0,286;0,94;0,648;0,898;0,891;0,995;0,978;-0,534;0,903;0,132;2,066;0,522;2,333;0,943;0,72;4,132;1,947;4,785;0
7,075;3186,724;202,481;16,828;0,97;0,891;0,24;0,717;0,911;0,934;0,927;0,994;0,983;-0,546;0,826;0,063;1,764;0,708;1,53;0,929;0,841;3,527;1,264;4,449;0
9,59;2802,363;189,225;20,248;0,666;0,936;0,248;0,842;0,602;0,912;0,906;0,995;0,981;-0,586;0,925;0,124;2,167;0,496;2,35;0,953;0,7;4,333;2,029;5,228;0
8,332;2676,558;180,764;18,078;0,634;0,932;0,217;0,755;0,585;0,925;0,92;0,996;0,984;-0,598;0,908;0,103;1,993;0,561;2,053;0,952;0,747;3,985;1,778;4,678;0
6,257;1652,963;121,233;12,877;0,778;0,886;0,284;0,925;0,695;0,901;0,894;0,995;0,979;-0,482;0,862;0,125;1,798;0,557;2,151;0,911;0,744;3,596;1,776;3,414;0
12,377;2475,62;174,851;24,331;0,478;0,961;0,201;0,74;0,436;0,925;0,921;0,997;0,985;-0,676;0,959;0,112;2,533;0,439;2,473;0,977;0,654;5,065;2,201;6,202;0
7,647;2687,314;181,52;17,248;0,614;0,931;0,171;0,592;0,583;0,947;0,943;0,996;0,988;-0,642;0,88;0,065;1,868;0,667;1,582;0,959;0,815;3,736;1,382;4,466;0
8,385;2349,238;168,559;18,275;0,537;0,943;0,193;0,696;0,498;0,933;0,929;0,996;0,986;-0,617;0,885;0,087;1,987;0,635;1,718;0,966;0,795;3,975;1,471;4,703;0
7,459;2267,229;161,363;16,478;0,616;0,928;0,2;0,694;0,574;0,935;0,93;0,996;0,985;-0,599;0,869;0,08;1,869;0,663;1,649;0,957;0,813;3,738;1,396;4,273;0
8,169;2836,073;195,12;18,591;0,587;0,939;0,208;0,728;0,543;0,93;0,924;0,996;0,985;-0,588;0,878;0,086;1,915;0,648;1,779;0,954;0,804;3,83;1,502;4,795;1
7,773;2897,383;198,155;18,084;0,639;0,932;0,202;0,687;0,597;0,936;0,931;0,996;0,985;-0,585;0,856;0,072;1,847;0,69;1,607;0,95;0,83;3,694;1,349;4,681;1
6,577;1898,781;139,923;14,275;0,537;0,928;0,194;0,7;0,498;0,933;0,928;0,996;0,986;-0,578;0,864;0,087;1,773;0,659;1,696;0,95;0,811;3,546;1,437;3,703;0
8,601;3052,668;207,221;19,582;0,459;0,954;0,195;0,719;0,421;0,93;0,924;0,997;0,985;-0,604;0,889;0,089;1,955;0,639;1,809;0,963;0,798;3,909;1,54;5,01;1
9,951;3036,472;205,282;21,831;0,663;0,941;0,198;0,677;0,622;0,937;0,932;0,996;0,986;-0,643;0,911;0,082;2,158;0,588;1,872;0,965;0,763;4,317;1,636;5,623;0
10,272;2957,813;212,747;22,917;0,743;0,937;0,27;0,881;0,668;0,909;0,901;0,995;0,98;-0,565;0,901;0,107;2,175;0,583;2,134;0,958;0,762;4,349;1,768;5,915;1
8,231;2445,098;173,178;18,167;0,686;0,927;0,22;0,743;0,636;0,928;0,923;0,995;0,984;-0,594;0,879;0,088;1,965;0,638;1,762;0,958;0,797;3,93;1,485;4,713;0
10,161;3107,035;215,971;22,587;0,617;0,947;0,246;0,845;0,555;0,913;0,906;0,996;0,981;-0,585;0,908;0,109;2,161;0,577;2,116;0,962;0,759;4,321;1,775;5,801;1
5,908;1308,525;99,162;11,378;0,691;0,886;0,298;0,982;0,6;0,889;0,881;0,995;0,977;-0,459;0,866;0,153;1,799;0,495;2,343;0,908;0,699;3,598;1,939;3,017;0
10,931;2026,244;140,345;20,611;5,692;0,567;1,365;2,26;3,82;0,674;0,629;0,963;0,908;-0,131;0,67;0,189;2,684;0,217;4,304;0,603;0,459;5,367;3,088;6,576;0
5,672;1378,635;103,552;11,319;1,015;0,835;0,373;1,106;0,874;0,875;0,863;0,993;0,972;-0,382;0,816;0,138;1,76;0,525;2,339;0,857;0,723;3,519;1,866;3,083;0
6,086;1411,39;105,574;11,922;0,792;0,875;0,308;0,99;0,695;0,889;0,881;0,995;0,977;-0,459;0,867;0,15;1,818;0,498;2,35;0,905;0,702;3,635;1,942;3,179;0
12,251;1940,491;134,208;20,933;1,736;0,847;0,716;1,675;1,214;0,753;0,729;0,987;0,946;-0,33;0,891;0,273;2,73;0,206;4,054;0,862;0,442;5,46;3,113;5,667;0
7,832;1890,207;132,405;15,02;0,779;0,901;0,322;1,025;0,672;0,877;0,871;0,995;0,975;-0,5;0,916;0,183;2,067;0,383;2,761;0,924;0,61;4,134;2,339;3,95;0
8,323;2117,043;145,315;16,43;1,54;0,829;0,547;1,409;1,237;0,82;0,801;0,989;0,96;-0,35;0,853;0,19;2,145;0,374;3,088;0,845;0,608;4,29;2,421;4,493;0
6,155;1450,996;109,242;12,199;0,701;0,891;0,273;0,912;0,625;0,901;0,894;0,995;0,979;-0,494;0,877;0,138;1,811;0,515;2,248;0,917;0,714;3,622;1,885;3,225;0
7,352;1825,983;131,735;14,792;1,038;0,869;0,397;1,163;0,878;0,864;0,852;0,993;0,97;-0,423;0,869;0,158;1,978;0,464;2,635;0,888;0,678;3,957;2,115;3,958;0
6,705;1668,335;122,546;13,509;0,726;0,898;0,284;0,937;0,644;0,897;0,89;0,995;0,979;-0,498;0,884;0,14;1,873;0,507;2,306;0,921;0,709;3,746;1,929;3,559;0
6,722;1641,385;120,204;13,443;0,802;0,887;0,322;1,023;0,697;0,885;0,876;0,994;0,976;-0,467;0,875;0,145;1,887;0,502;2,396;0,907;0,706;3,775;1,964;3,561;0
8,273;1861,71;135,618;16,252;1,089;0,874;0,43;1,234;0,901;0,849;0,836;0,992;0,968;-0,421;0,885;0,182;2,117;0,405;2,894;0,895;0,632;4,234;2,324;4,335;0
11,59;2075,713;144,318;20,634;1,216;0,889;0,549;1,444;0,91;0,797;0,781;0,991;0,958;-0,4;0,916;0,259;2,595;0,247;3,674;0,904;0,485;5,191;2,926;5,463;0
13,372;2075,678;138,911;22,519;1,667;0,862;0,701;1,655;1,17;0,754;0,731;0,988;0,947;-0,35;0,907;0,284;2,856;0,193;4,101;0,88;0,426;5,713;3,171;6,046;0
8,866;1924,027;139,738;17,392;0,931;0,898;0,394;1,172;0,774;0,859;0,847;0,993;0,97;-0,466;0,904;0,17;2,18;0,427;2,813;0,918;0,65;4,359;2,277;4,581;0
8,692;2076,05;148,777;17,485;1,051;0,887;0,404;1,18;0,885;0,86;0,848;0,993;0,97;-0,45;0,894;0,166;2,141;0,436;2,778;0,909;0,657;4,282;2,243;4,634;0
5,82;1576,588;116,032;12,056;0,676;0,894;0,243;0,824;0,616;0,916;0,91;0,995;0,982;-0,51;0,855;0,108;1,725;0,604;1,931;0,922;0,775;3,45;1,612;3,183;0
10,895;2268,535;160,93;21,438;1,842;0,842;0,632;1,525;1,439;0,804;0,781;0,987;0,954;-0,358;0,873;0,176;2,449;0,367;3,302;0,868;0,603;4,897;2,541;5,82;0
5,917;1636,941;119,794;12,379;0,702;0,893;0,244;0,822;0,641;0,917;0,91;0,995;0,982;-0,513;0,853;0,104;1,732;0,614;1,897;0,922;0,782;3,463;1,579;3,27;0
6,068;1719,958;124,337;12,763;0,743;0,89;0,261;0,858;0,673;0,913;0,905;0,995;0,981;-0,503;0,852;0,104;1,75;0,613;1,935;0,917;0,782;3,5;1,594;3,376;0
7,2;1932,149;141,328;15,226;0,683;0,914;0,239;0,814;0,624;0,917;0,911;0,995;0,982;-0,548;0,884;0,11;1,888;0,578;2,021;0,94;0,758;3,776;1,71;3,977;0
6,768;1893,586;138,899;14,507;0,637;0,916;0,215;0,746;0,589;0,927;0,922;0,996;0,984;-0,567;0,874;0,096;1,817;0,62;1,837;0,944;0,786;3,634;1,559;3,786;0
8,769;2243,963;161,317;18,363;0,78;0,919;0,289;0,937;0,694;0,899;0,892;0,995;0,978;-0,535;0,904;0,13;2,091;0,519;2,329;0,943;0,718;4,182;1,943;4,786;0
9,224;2200,748;159,612;18,997;0,738;0,925;0,301;0,978;0,646;0,892;0,883;0,995;0,977;-0,532;0,91;0,142;2,159;0,494;2,447;0,946;0,7;4,317;2,034;4,934;0
12,136;2537,023;175,429;23,641;0,935;0,924;0,402;1,192;0,77;0,854;0,842;0,993;0,969;-0,498;0,931;0,186;2,542;0,376;3,05;0,943;0,608;5,083;2,493;6,144;0
9,197;2189,395;157,483;18,887;0,713;0,927;0,284;0,938;0,631;0,898;0,89;0,995;0,979;-0,547;0,911;0,137;2,157;0,505;2,364;0,95;0,708;4,315;1,979;4,9;0
6,469;1872,17;136,583;13,943;0,715;0,902;0,242;0,81;0,655;0,919;0,912;0,995;0,982;-0,527;0,856;0,098;1,778;0,63;1,853;0,933;0,792;3,557;1,539;3,664;0
8,781;2345,084;166,273;18,611;1,002;0,898;0,327;0,993;0,89;0,893;0,884;0,993;0,976;-0,518;0,896;0,125;2,093;0,528;2,346;0,933;0,725;4,185;1,922;4,903;0
7,367;2054,358;149,562;15,85;0,763;0,908;0,264;0,865;0,692;0,911;0,904;0,995;0,981;-0,529;0,875;0,107;1,896;0,594;2,024;0,936;0,769;3,792;1,675;4,153;0
8,053;2230,877;159,238;17,145;0,921;0,898;0,31;0,967;0,823;0,897;0,888;0,994;0,977;-0,505;0,887;0,125;1,999;0,536;2,296;0,926;0,73;3,999;1,892;4,517;0
6,425;1840,442;134,58;13,807;0,617;0,914;0,202;0,709;0,575;0,932;0,927;0,996;0,985;-0,575;0,867;0,088;1,768;0,644;1,737;0,945;0,801;3,537;1,476;3,606;0
11,881;2286,516;160,216;22,62;0,736;0,937;0,337;1,069;0,62;0,871;0,863;0,995;0,974;-0,543;0,942;0,184;2,532;0,371;2,945;0,954;0,602;5,063;2,477;5,839;0
10,995;2307,138;163,117;21,521;0,777;0,93;0,341;1,074;0,659;0,872;0,863;0,994;0,974;-0,523;0,93;0,177;2,41;0,398;2,843;0,949;0,626;4,82;2,372;5,575;0
9,267;2344,805;167,243;19,308;0,712;0,929;0,282;0,933;0,631;0,899;0,891;0,995;0,979;-0,549;0,913;0,134;2,149;0,509;2,37;0,949;0,711;4,298;1,986;5,005;0
7,937;2426,724;170,565;17,438;0,832;0,909;0,268;0,862;0,758;0,912;0,905;0,995;0,98;-0,559;0,887;0,102;1,946;0,606;1,999;0,947;0,777;3,891;1,65;4,568;1
9,715;2439,951;169,02;19,829;1,028;0,901;0,382;1,131;0,879;0,87;0,858;0,993;0,972;-0,489;0,908;0,153;2,239;0,455;2,705;0,926;0,672;4,479;2,193;5,214;0
11,29;2581,569;173,5;21,921;0,849;0,925;0,34;1,061;0,73;0,875;0,867;0,994;0,974;-0,545;0,941;0,177;2,454;0,38;2,909;0,945;0,611;4,908;2,451;5,693;0
12,774;3167,845;211,044;26,235;2,212;0,844;0,672;1,535;1,755;0,809;0,785;0,985;0,952;-0,384;0,887;0,146;2,602;0,394;3,27;0,893;0,626;5,203;2,492;7,112;1
11,394;2396,486;168,204;22,353;0,642;0,944;0,293;0,975;0,554;0,887;0,881;0,995;0,977;-0,575;0,942;0,164;2,443;0,416;2,721;0,961;0,639;4,885;2,315;5,749;0
10,367;2802,309;192,184;22,049;1,608;0,864;0,486;1,263;1,368;0,855;0,838;0,989;0,965;-0,438;0,884;0,133;2,293;0,478;2,717;0,906;0,689;4,585;2,133;5,914;0
8,667;2136,816;154,426;17,934;0,65;0,93;0,269;0,908;0,576;0,902;0,895;0,995;0,98;-0,559;0,911;0,131;2,085;0,525;2,286;0,952;0,723;4,169;1,916;4,646;0
6,658;1887,5;136,295;14,152;0,603;0,918;0,218;0,765;0,554;0,924;0,918;0,996;0,984;-0,564;0,876;0,099;1,808;0,619;1,861;0,944;0,786;3,617;1,57;3,689;0
11,581;2532,901;176,248;23,026;0,605;0,949;0,275;0,933;0,528;0,894;0,888;0,996;0,979;-0,593;0,943;0,154;2,445;0,438;2,617;0,966;0,657;4,889;2,238;5,908;0
8,618;2280,958;160,671;17,914;0,488;0,947;0,204;0,752;0,446;0,923;0,919;0,997;0,984;-0,622;0,925;0,114;2,064;0,533;2,142;0,964;0,727;4,129;1,87;4,601;0
7,684;2117,012;151,805;16,305;0,75;0,912;0,274;0,899;0,673;0,906;0,898;0,995;0,98;-0,531;0,888;0,117;1,948;0,564;2,151;0,937;0,75;3,896;1,785;4,264;0
13,42;2709,465;181,551;25,979;0,939;0,93;0,396;1,176;0,779;0,858;0,846;0,993;0,97;-0,527;0,937;0,173;2,676;0,396;2,942;0,96;0,625;5,351;2,397;6,729;0
5,291;1414,891;101,238;10,325;0,827;0,852;0,325;1,028;0,72;0,883;0,874;0,994;0,975;-0,404;0,829;0,154;1,708;0,501;2,314;0,872;0,704;3,416;1,891;2,788;0
9,098;1911,151;132,973;16,21;0,997;0,884;0,511;1,381;0,731;0,8;0,786;0,992;0,96;-0,372;0,892;0,279;2,301;0,243;3,514;0,894;0,475;4,602;2,819;4,302;0
5,059;1447,152;100,964;9,931;0,732;0,863;0,291;0,957;0,645;0,893;0,886;0,995;0,978;-0,415;0,822;0,15;1,661;0,527;2,167;0,883;0,722;3,322;1,793;2,666;0
6,759;1843,908;131,569;13,813;0,792;0,892;0,322;1,026;0,686;0,884;0,875;0,994;0,976;-0,449;0,866;0,153;1,872;0,496;2,401;0,91;0,701;3,744;1,974;3,651;0
6,104;1640,559;120,562;12,608;0,705;0,894;0,256;0,86;0,638;0,91;0,904;0,995;0,981;-0,503;0,865;0,119;1,769;0,569;2,062;0,92;0,752;3,537;1,727;3,328;0
6,515;1828,272;132,346;13,708;0,715;0,901;0,249;0,837;0,651;0,914;0,908;0,995;0,982;-0,527;0,874;0,112;1,807;0,583;2,028;0,927;0,762;3,615;1,7;3,606;0
9,27;2321,121;161,337;18,689;1,813;0,823;0,629;1,521;1,415;0,804;0,781;0,987;0,954;-0,321;0,84;0,177;2,248;0,373;3,21;0,835;0,607;4,495;2,475;5,126;0
7,044;1872,314;134,204;14,364;0,733;0,903;0,305;0,991;0,639;0,888;0,88;0,995;0,977;-0,476;0,88;0,149;1,907;0,494;2,401;0,92;0,7;3,814;1,99;3,774;0
8,246;2472,134;167,935;17,404;1,434;0,848;0,484;1,292;1,196;0,846;0,829;0,99;0,965;-0,375;0,847;0,155;2,062;0,453;2,75;0,864;0,671;4,125;2,173;4,71;0
7,976;1924,288;139,639;15,974;0,845;0,9;0,352;1,091;0,719;0,872;0,862;0,994;0,973;-0,463;0,894;0,169;2,048;0,439;2,673;0,918;0,658;4,096;2,197;4,205;0
7,371;1939,137;140,092;15,23;0,836;0,896;0,312;0,991;0,736;0,891;0,883;0,994;0,977;-0,485;0,883;0,14;1,942;0,509;2,38;0,919;0,711;3,884;1,966;4,016;0
7,873;1869,823;136,947;15,802;0,816;0,902;0,348;1,084;0,693;0,873;0,864;0,994;0,974;-0,464;0,89;0,163;2,031;0,456;2,618;0,919;0,672;4,063;2,145;4,154;0
7,029;1908,156;138,331;14,701;0,802;0,897;0,289;0,933;0,716;0,9;0,893;0,995;0,979;-0,499;0,878;0,128;1,885;0,542;2,233;0,921;0,734;3,77;1,852;3,876;0
6,728;1698,27;124,674;13,595;0,657;0,908;0,279;0,937;0,577;0,896;0,889;0,995;0,979;-0,491;0,881;0,144;1,869;0,506;2,317;0,925;0,708;3,738;1,938;3,563;0
6,571;1905,472;137,448;14,039;0,479;0,934;0,201;0,736;0,438;0,927;0,922;0,997;0,985;-0,572;0,871;0,094;1,784;0,64;1,774;0,949;0,799;3,567;1,5;3,63;0
9,043;3005,427;200,427;19,926;0,689;0,933;0,218;0,744;0,639;0,927;0,922;0,996;0,984;-0,615;0,913;0,098;2,058;0,571;2,034;0,957;0,753;4,115;1,761;5,154;0
7,081;2076,344;148,55;15,222;0,517;0,934;0,168;0,612;0,488;0,944;0,94;0,997;0,988;-0,649;0,904;0,075;1,845;0,623;1,769;0,959;0,787;3,691;1,548;3,935;0
8,728;2681,027;183,079;18,998;1,261;0,876;0,396;1,116;1,101;0,877;0,864;0,992;0,971;-0,452;0,87;0,126;2,072;0,524;2,431;0,904;0,722;4,144;1,95;5,065;0
8,78;2540,456;176,965;18,975;1,2;0,881;0,39;1,109;1,045;0,878;0,865;0,992;0,972;-0,46;0,873;0,123;2,082;0,53;2,413;0,911;0,727;4,165;1,931;5,044;0
10,992;2963,841;202,314;23,505;1,728;0,863;0,511;1,288;1,464;0,852;0,834;0,988;0,964;-0,439;0,885;0,126;2,355;0,481;2,727;0,913;0,692;4,711;2,124;6,308;0
8,664;2427,752;171,869;18,737;1,283;0,872;0,409;1,134;1,114;0,874;0,86;0,991;0,97;-0,448;0,866;0,12;2,074;0,536;2,41;0,909;0,731;4,147;1,913;5,005;0
12,46;2347,156;158,539;23,454;0,525;0,956;0,252;0,882;0,46;0,902;0,896;0,996;0,98;-0,624;0,952;0,148;2,594;0,412;2,627;0,976;0,634;5,188;2,277;5,995;0
10,264;2386,563;165,827;20,69;0,766;0,929;0,316;1,01;0,664;0,887;0,878;0,994;0,976;-0,557;0,923;0,142;2,298;0,485;2,49;0,961;0,694;4,597;2,055;5,364;0
8,633;2574,818;173,159;18,163;1,498;0,848;0,494;1,306;1,25;0,844;0,827;0,99;0,964;-0,381;0,855;0,156;2,114;0,445;2,799;0,865;0,665;4,227;2,21;4,915;0
8,125;2353,533;159,439;16,63;0,787;0,91;0,293;0,949;0,698;0,894;0,887;0,995;0,978;-0,521;0,911;0,154;2,041;0,444;2,528;0,932;0,661;4,081;2,156;4,354;0
12,006;2686,374;185,517;25,23;5,496;0,642;1,181;1,982;4,083;0,742;0,706;0,965;0,923;-0,214;0,764;0,126;2,659;0,341;3,706;0,732;0,582;5,319;2,697;7,682;0
7,517;2335,617;160,71;15,952;0,854;0,898;0,334;1,044;0,74;0,882;0,873;0,994;0,975;-0,452;0,87;0,146;1,934;0,5;2,439;0,91;0,705;3,869;1,997;4,202;1
6,173;1641,474;120,493;12,717;0,8;0,882;0,287;0,93;0,715;0,901;0,893;0,995;0,979;-0,474;0,857;0,127;1,787;0,555;2,152;0,911;0,743;3,574;1,78;3,379;0
8,212;2311,281;158,929;17,071;1,531;0,835;0,515;1,34;1,263;0,838;0,82;0,989;0,962;-0,36;0,842;0,156;2,08;0,442;2,828;0,851;0,662;4,16;2,218;4,651;0
7,552;1890,987;136,773;15,447;1,241;0,851;0,447;1,239;1,039;0,854;0,839;0,991;0,967;-0,388;0,848;0,151;2;0,473;2,645;0,872;0,685;4;2,093;4,172;0
7,804;2209,895;156,336;16,722;0,876;0,9;0,291;0,912;0,79;0,906;0,898;0,994;0,979;-0,531;0,882;0,105;1,96;0,589;2,086;0,939;0,766;3,921;1,704;4,4;0
7,218;2029,999;147,037;15,527;0,688;0,915;0,232;0,785;0,632;0,923;0,916;0,995;0,983;-0,574;0,882;0,095;1,873;0,625;1,876;0,949;0,789;3,746;1,568;4,054;0
7,286;2173,926;152,29;15,677;0,766;0,907;0,255;0,836;0,699;0,916;0,909;0,995;0,981;-0,554;0,881;0,1;1,886;0,609;1,962;0,941;0,779;3,772;1,625;4,111;0
6,227;1827,511;132,274;13,405;0,655;0,907;0,208;0,712;0,61;0,932;0,927;0,996;0,985;-0,579;0,862;0,082;1,744;0,667;1,679;0,945;0,816;3,487;1,41;3,515;0
7,918;2305,565;163,791;17,22;0,684;0,924;0,245;0,822;0,623;0,918;0,91;0,995;0,982;-0,57;0,884;0,098;1,945;0,618;1,92;0,956;0,785;3,891;1,592;4,476;0
7,058;1902,806;138,781;14,936;0,625;0,92;0,224;0,777;0,574;0,923;0,917;0,996;0,983;-0,577;0,887;0,099;1,866;0,613;1,905;0,949;0,782;3,731;1,603;3,89;0
10,216;2376,082;163,903;20,361;0,801;0,924;0,322;1,022;0,695;0,885;0,876;0,994;0,976;-0,553;0,928;0,146;2,308;0,464;2,601;0,957;0,678;4,616;2,149;5,291;0
7,523;2049,529;148,461;16,054;0,827;0,902;0,283;0,902;0,745;0,907;0,898;0,994;0,979;-0,531;0,88;0,107;1,928;0,591;2,072;0,937;0,768;3,855;1,699;4,22;0
7,434;1983,106;144,186;15,746;0,7;0,915;0,241;0,809;0,641;0,919;0,913;0,995;0,982;-0,576;0,892;0,102;1,917;0,601;1,971;0,951;0,774;3,833;1,65;4,112;0
8,193;2599,132;176,399;17,835;0,665;0,928;0,207;0,71;0,621;0,932;0,927;0,996;0,985;-0,624;0,907;0,089;1,975;0,596;1,916;0,958;0,77;3,95;1,657;4,625;0
9,254;2213,992;158,614;19,008;1,292;0,873;0,453;1,241;1,083;0,855;0,839;0,991;0,967;-0,437;0,884;0,145;2,197;0,468;2,727;0,905;0,682;4,393;2,156;5,075;0
8,678;1968,377;145,04;17,605;1,096;0,883;0,418;1,195;0,919;0,86;0,846;0,992;0,969;-0,441;0,883;0,149;2,133;0,469;2,691;0,907;0,683;4,267;2,141;4,675;0
12,155;2798,61;191,777;24,628;2,428;0,821;0,739;1,63;1,878;0,792;0,765;0,983;0,947;-0,337;0,865;0,156;2,57;0,368;3,419;0,858;0,605;5,14;2,585;6,764;1
8,113;1866,046;137,7;16,397;0,744;0,913;0,305;0,989;0,649;0,89;0,882;0,995;0,977;-0,519;0,903;0,139;2,049;0,501;2,421;0,934;0,705;4,099;2,001;4,285;0
8,678;1968,377;145,04;17,605;1,096;0,883;0,418;1,195;0,919;0,86;0,846;0,992;0,969;-0,441;0,883;0,149;2,133;0,469;2,691;0,907;0,683;4,267;2,141;4,675;0
6,962;1740,619;129,842;14,518;0,835;0,891;0,299;0,944;0,744;0,901;0,891;0,994;0,978;-0,501;0,87;0,111;1,882;0,579;2,122;0,923;0,76;3,764;1,725;3,838;0
11,116;2774,362;197,762;23,595;2,072;0,838;0,525;1,278;1,773;0,853;0,84;0,987;0,964;-0,427;0,889;0,152;2,395;0,414;2,978;0,882;0,64;4,789;2,391;6,417;1
8,005;1833,477;133,858;15,993;0,762;0,909;0,313;1,006;0,663;0,887;0,878;0,995;0,976;-0,506;0,902;0,149;2,049;0,481;2,482;0,932;0,69;4,098;2,053;4,189;0
6,672;1699,037;125,262;13,736;0,578;0,919;0,239;0,837;0,519;0,913;0,906;0,996;0,982;-0,537;0,881;0,117;1,839;0,577;2,04;0,94;0,758;3,678;1,713;3,578;0
9,264;2093,555;150,122;18,423;0,74;0,923;0,313;1,013;0,64;0,883;0,876;0,995;0,976;-0,526;0,92;0,162;2,201;0,441;2,638;0,943;0,66;4,402;2,208;4,791;0
9,656;2691,453;184,575;20,554;0,635;0,94;0,211;0,731;0,589;0,929;0,924;0,996;0,985;-0,633;0,919;0,095;2,163;0,557;2,022;0,966;0,743;4,325;1,756;5,297;0
7,848;2004,244;147,575;16,647;0,667;0,923;0,243;0,822;0,606;0,917;0,91;0,995;0,982;-0,576;0,889;0,103;1,963;0,605;1,939;0,958;0,776;3,926;1,614;4,328;0
7,501;2099,762;149,974;15,911;0,731;0,912;0,273;0,898;0,655;0,906;0,898;0,995;0,98;-0,527;0,885;0,117;1,925;0,566;2,139;0,933;0,751;3,85;1,774;4,161;0
7,157;2003,752;145,544;15,268;0,473;0,94;0,159;0,592;0,447;0,946;0,943;0,997;0,988;-0,669;0,91;0,072;1,86;0,617;1,759;0,963;0,783;3,719;1,549;3,935;0
9,204;2595,429;177,136;19,263;0,615;0,938;0,231;0,805;0,559;0,917;0,912;0,996;0,983;-0,603;0,926;0,119;2,131;0,505;2,274;0,955;0,707;4,262;1,975;4,97;0
10,902;2888,198;197,12;23,027;1,702;0,862;0,521;1,321;1,428;0,845;0,827;0,989;0,963;-0,424;0,884;0,139;2,36;0,455;2,841;0,899;0,673;4,721;2,219;6,182;0
10,788;2658,887;184,588;22,399;1,644;0,863;0,53;1,349;1,36;0,839;0,82;0,989;0,962;-0,417;0,884;0,145;2,366;0,443;2,906;0,9;0,664;4,732;2,264;6,011;0
11,59;3464,54;229,663;24,83;0,846;0,934;0,34;1,055;0,729;0,881;0,87;0,994;0,974;-0,532;0,922;0,144;2,365;0,472;2,634;0,948;0,685;4,731;2,17;6,419;1
7,9;2503,208;170,542;17,105;0,614;0,931;0,201;0,707;0,571;0,932;0,927;0,996;0,985;-0,618;0,907;0,094;1,944;0,583;1,94;0,954;0,761;3,887;1,691;4,43;0
7,097;2156,811;150,854;15,2;0,64;0,919;0,238;0,817;0,582;0,917;0,911;0,996;0,982;-0,553;0,885;0,107;1,859;0,593;2,004;0,942;0,769;3,719;1,686;3,96;0
7,646;2107,138;149,564;16,028;0,65;0,922;0,261;0,885;0,581;0,906;0,899;0,995;0,98;-0,541;0,895;0,124;1,95;0,549;2,189;0,943;0,739;3,9;1,835;4,169;0
6,914;2023,905;143,348;14,705;0,592;0,923;0,229;0,799;0,538;0,919;0,913;0,996;0,983;-0,56;0,882;0,104;1,84;0,605;1,943;0,943;0,777;3,68;1,632;3,824;0
7,318;2260,405;157,858;15,882;0,769;0,908;0,253;0,831;0,704;0,916;0,91;0,995;0,982;-0,554;0,884;0,103;1,882;0,599;1,991;0,939;0,773;3,763;1,663;4,163;0
7,898;2199,791;155,992;16,727;0,657;0,924;0,242;0,826;0,597;0,915;0,909;0,995;0,982;-0,575;0,903;0,112;1,97;0,566;2,101;0,95;0,75;3,94;1,777;4,346;0
7,316;2010,339;144,71;15,416;0,672;0,917;0,26;0,877;0,603;0,908;0,901;0,995;0,98;-0,536;0,887;0,117;1,905;0,568;2,125;0,939;0,752;3,81;1,772;4,022;0
7,298;2114,743;149,441;15,505;0,776;0,905;0,276;0,901;0,698;0,905;0,898;0,995;0,979;-0,521;0,883;0,119;1,901;0,563;2,151;0,931;0,749;3,803;1,787;4,07;0
12,634;3497,811;236,573;27,441;1,44;0,9;0,44;1,178;1,244;0,869;0,854;0,99;0,968;-0,5;0,906;0,121;2,477;0,505;2,589;0,951;0,709;4,953;2,045;7,22;1
7,327;1824,823;133,139;14,97;0,742;0,906;0,276;0,91;0,664;0,903;0,896;0,995;0,979;-0,527;0,895;0,129;1,942;0,526;2,269;0,93;0,723;3,883;1,901;3,928;0
12,562;2425,828;168,442;23,655;0,885;0,928;0,39;1,172;0,729;0,855;0,845;0,994;0,97;-0,514;0,945;0,196;2,621;0,333;3,239;0,938;0,57;5,242;2,687;6,135;1
7,327;1824,823;133,139;14,97;0,742;0,906;0,276;0,91;0,664;0,903;0,896;0,995;0,979;-0,527;0,895;0,129;1,942;0,526;2,269;0,93;0,723;3,883;1,901;3,928;0
12,718;2201,086;147,47;21,921;0,981;0,914;0,521;1,398;0,705;0,795;0,78;0,992;0,959;-0,427;0,931;0,281;2,736;0,214;3,75;0,929;0,446;5,471;3,023;5,726;0
12,84;2297,14;153,128;22,514;0,984;0,916;0,493;1,35;0,736;0,807;0,794;0,993;0,962;-0,441;0,933;0,274;2,731;0,227;3,644;0,933;0,46;5,462;2,964;5,875;0
