original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;HasContrast
7,922;1731,951;126,959;15,335;0,996;0,878;0,402;1,187;0,832;0,856;0,845;0,993;0,97;-0,428;0,888;0,184;2,083;0,4;2,864;0,897;0,627;4,165;2,321;4,083;0
7,854;2340,644;163,234;16,949;0,601;0,932;0,214;0,749;0,554;0,926;0,921;0,996;0,984;-0,607;0,898;0,096;1,941;0,612;1,893;0,96;0,781;3,882;1,61;4,388;0
7,115;2253,07;157,209;15,615;0,725;0,911;0,234;0,774;0,669;0,925;0,918;0,995;0,983;-0,567;0,872;0,088;1,842;0,642;1,812;0,945;0,8;3,684;1,509;4,085;0
11,315;2635,098;177,754;22,482;0,748;0,936;0,322;1,032;0,641;0,882;0,873;0,995;0,975;-0,56;0,935;0,154;2,425;0,444;2,667;0,962;0,663;4,85;2,217;5,807;0
9,546;2458,043;170,731;19,792;0,674;0,934;0,278;0,926;0,595;0,9;0,892;0,995;0,979;-0,568;0,917;0,128;2,183;0,52;2,321;0,958;0,719;4,367;1,934;5,117;0
9,04;2442,607;165,91;18,119;0,738;0,922;0,298;0,969;0,647;0,887;0,881;0,995;0,977;-0,535;0,927;0,171;2,167;0,399;2,715;0,942;0,624;4,333;2,327;4,714;0
6,648;1979,928;138,527;14,023;0,731;0,901;0,265;0,879;0,659;0,908;0,901;0,995;0,98;-0,505;0,868;0,12;1,824;0,571;2,082;0,925;0,754;3,647;1,735;3,688;0
7,019;1928,815;137,456;14,548;0,785;0,898;0,298;0,963;0,694;0,894;0,886;0,995;0,978;-0,484;0,876;0,141;1,892;0,52;2,293;0,924;0,719;3,783;1,902;3,833;0
8,737;2197,727;153,822;17,572;0,991;0,893;0,394;1,167;0,833;0,86;0,849;0,993;0,97;-0,448;0,894;0,179;2,143;0,418;2,804;0,914;0,642;4,286;2,282;4,641;0
7,748;2001,742;142,422;15,759;0,841;0,899;0,344;1,073;0,721;0,876;0,866;0,994;0,974;-0,461;0,884;0,161;2,005;0,468;2,556;0,917;0,681;4,009;2,095;4,15;0
6,948;1937,462;137,747;14,446;0,938;0,878;0,354;1,076;0,811;0,879;0,868;0,993;0,974;-0,432;0,855;0,141;1,89;0,514;2,397;0,897;0,715;3,779;1,938;3,846;0
11,237;2646,57;179,426;22,157;0,994;0,914;0,421;1,226;0,814;0,848;0,836;0,993;0,968;-0,474;0,922;0,189;2,439;0,374;3,07;0,929;0,607;4,877;2,495;5,788;0
7,756;2016,593;143,071;15,786;0,8;0,904;0,328;1,041;0,69;0,88;0,872;0,994;0,975;-0,474;0,889;0,159;2,002;0,471;2,521;0,923;0,683;4,004;2,079;4,146;0
6,09;1755,569;124,363;12,644;0,754;0,887;0,281;0,921;0,673;0,902;0,894;0,995;0,979;-0,472;0,85;0,124;1,766;0,57;2,088;0,912;0,753;3,531;1,721;3,349;0
7,319;2163,507;149,531;15,35;1,093;0,867;0,389;1,134;0,939;0,87;0,857;0,993;0,971;-0,42;0,855;0,145;1,938;0,498;2,487;0,886;0,704;3,875;2,002;4,111;0
6,737;1843,346;132,32;13,925;0,699;0,904;0,277;0,923;0,621;0,9;0,893;0,995;0,979;-0,494;0,875;0,134;1,852;0,535;2,218;0,926;0,729;3,704;1,847;3,656;0
10,507;2572,532;174,714;20,858;1,522;0,864;0,57;1,452;1,194;0,812;0,791;0,989;0,958;-0,375;0,881;0,192;2,382;0,356;3,263;0,877;0,593;4,763;2,556;5,595;0
9,571;2530,859;171,397;19,151;0,697;0,93;0,3;0,982;0,604;0,886;0,879;0,995;0,977;-0,544;0,933;0,169;2,226;0,406;2,751;0,942;0,632;4,453;2,343;4,962;0
6,798;1858,49;131,608;13,917;0,773;0,895;0,293;0,955;0,685;0,895;0,887;0,995;0,978;-0,484;0,876;0,143;1,874;0,512;2,301;0,921;0,712;3,748;1,916;3,672;0
6,903;1937,76;136,127;14,31;0,769;0,898;0,291;0,947;0,683;0,897;0,889;0,995;0,978;-0,486;0,871;0,135;1,876;0,538;2,227;0,921;0,731;3,751;1,846;3,77;0
7,387;1813,154;130,881;14,581;0,548;0,928;0,218;0,78;0,499;0,919;0,914;0,996;0,984;-0,597;0,929;0,123;1,969;0,457;2,348;0,947;0,667;3,939;2,059;3,782;0
6,93;1995,967;141,065;14,604;0,755;0,902;0,273;0,899;0,678;0,905;0,898;0,995;0,98;-0,51;0,875;0,121;1,862;0,563;2,135;0,927;0,749;3,725;1,773;3,84;0
8,292;2490,35;168,698;17,498;1,288;0,863;0,441;1,222;1,09;0,856;0,842;0,991;0,968;-0,408;0,862;0,152;2,059;0,468;2,667;0,882;0,682;4,118;2,128;4,697;0
6,822;1695,664;126,361;13,946;0,701;0,904;0,283;0,938;0,62;0,898;0,89;0,995;0,979;-0,494;0,879;0,136;1,874;0,528;2,261;0,926;0,724;3,747;1,88;3,662;0
7,797;1661,27;124,303;15,198;0,887;0,89;0,379;1,149;0,741;0,861;0,851;0,994;0,971;-0,441;0,887;0,18;2,054;0,425;2,745;0,912;0,647;4,108;2,233;4,021;0
7,059;1748,196;129,221;14,416;0,714;0,906;0,281;0,931;0,633;0,899;0,892;0,995;0,979;-0,505;0,885;0,136;1,906;0,523;2,277;0,928;0,72;3,812;1,901;3,782;0
7,152;1669,053;125,13;14,406;0,798;0,895;0,317;1,012;0,695;0,886;0,878;0,994;0,976;-0,475;0,881;0,15;1,937;0,494;2,421;0,921;0,699;3,873;1,998;3,801;0
6,177;1546,592;116,143;12,608;0,628;0,905;0,244;0,843;0,567;0,912;0,906;0,996;0,982;-0,517;0,872;0,12;1,784;0,567;2,058;0,93;0,751;3,567;1,732;3,309;0
8,75;1899,506;140,688;17,293;0,927;0,898;0,385;1,157;0,776;0,86;0,85;0,993;0,971;-0,455;0,899;0,181;2,158;0,413;2,825;0,921;0,638;4,317;2,306;4,555;0
8,289;2230,213;156,311;17,23;1,368;0,853;0,469;1,268;1,145;0,85;0,834;0,991;0,966;-0,394;0,858;0,152;2,079;0,461;2,726;0,877;0,677;4,158;2,155;4,65;0
11,816;2335,976;160,499;22,205;0,978;0,916;0,424;1,234;0,795;0,845;0,833;0,993;0,968;-0,492;0,935;0,201;2,551;0,342;3,209;0,936;0,579;5,103;2,621;5,796;0
8,726;2495,099;172,232;18,588;1,372;0,863;0,45;1,218;1,167;0,86;0,845;0,991;0,967;-0,417;0,863;0,134;2,103;0,493;2,605;0,888;0,701;4,206;2,06;4,99;0
7,727;1896,816;138,454;15,768;0,734;0,911;0,302;0,982;0,641;0,891;0,883;0,995;0,977;-0,501;0,893;0,142;1,992;0,506;2,394;0,93;0,709;3,984;1,983;4,125;0
7,272;2095,083;147,046;15,345;0,728;0,909;0,261;0,869;0,658;0,91;0,903;0,995;0,981;-0,536;0,887;0,114;1,902;0,567;2,123;0,932;0,752;3,804;1,773;4,018;0
7,084;2051,97;145,142;15,072;0,774;0,902;0,28;0,904;0,694;0,906;0,898;0,995;0,979;-0,514;0,872;0,109;1,873;0,589;2,076;0,928;0,767;3,747;1,703;3,961;0
8,946;2520,759;174,22;18,993;1,42;0,861;0,47;1,254;1,196;0,855;0,838;0,99;0,966;-0,408;0,863;0,138;2,134;0,481;2,677;0,885;0,692;4,267;2,11;5,103;0
7,394;1874,965;136,782;15,264;0,714;0,911;0,278;0,919;0,635;0,902;0,894;0,995;0,979;-0,52;0,889;0,124;1,938;0,545;2,231;0,932;0,736;3,876;1,852;3,995;0
5,299;1582,856;114,522;11,209;0,635;0,893;0,208;0,719;0,591;0,931;0,926;0,996;0,985;-0,531;0,832;0,085;1,63;0,674;1,638;0,925;0,82;3,259;1,373;2,961;0
9,219;2779,867;188,237;19,906;1,446;0,865;0,451;1,211;1,239;0,862;0,847;0,99;0,967;-0,427;0,869;0,132;2,146;0,494;2,603;0,893;0,701;4,291;2,063;5,338;0
6,774;1874,743;136,363;14,387;0,694;0,908;0,246;0,824;0,633;0,917;0,91;0,995;0,982;-0,542;0,873;0,101;1,83;0,614;1,932;0,936;0,783;3,661;1,605;3,77;0
