HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
0;112,712;113,475;60,706;0,638;255;0,572;0,121;66,938;141,525;4,277
0;118,482;121,762;62,924;0,638;255;0,376;-0,199;69,488;150,45;4,281
0;115,073;125,587;59,917;0,638;255;0,455;0,002;59,925;144,712;4,067
0;115,805;121,762;64,569;0,638;255;0,494;-0,083;62,475;143,438;4,102
0;116,885;123,675;61,415;0,638;255;0,462;0,143;70,762;142,8;4,069
0;114,339;119,212;61,22;0,638;255;0,442;0,029;66,938;143,438;4,235
0;97,011;93,075;59,398;0,638;255;0,779;0,322;47,175;131,962;4,3
0;100,01;91,162;64,549;0,638;255;0,726;-0,026;49,088;138,338;4,353
0;100,843;99,45;59,545;0,638;255;0,723;0,218;50,363;134,512;4,301
0;97,346;91,8;60,312;0,638;255;0,77;0,225;47,812;132,6;4,33
0;89,332;78,412;61,116;0,638;255;0,905;0,386;38,25;126,862;4,28
0;92,649;86,062;59,872;0,638;255;0,85;0,39;42,075;128,775;4,281
0;98,267;94,988;61,009;0,638;255;0,787;0,256;46,538;132,6;4,295
0;121,791;119,212;54,088;0,638;255;0,73;0,682;88,612;142,162;4,155
0;139,169;131,325;58,826;0,638;255;0,477;-0,199;100,725;167,025;4,133
0;128,985;125,587;58,333;0,638;255;0,692;0,305;95,625;145,35;4,006
0;93,768;94,35;59,792;0,638;255;0,785;0,391;40,162;130,688;4,166
0;103,024;103,275;62,364;0,638;255;0,841;0,323;49,088;133,875;4,153
0;93,864;89,25;60,509;0,638;255;0,796;0,294;42,713;130,05;4,29
0;94,059;91,162;61,035;0,638;255;0,789;0,264;40,8;130,688;4,265
1;109,817;103,275;69,929;0,638;255;0,5;-0,723;47,812;156,825;4,414
0;97,008;92,438;61,303;0,638;255;0,752;0,152;44,625;134,512;4,289
0;92,682;86,7;60,487;0,638;255;0,809;0,297;41,438;130,05;4,278
0;97,529;94,988;60,477;0,638;255;0,787;0,321;45,9;132,6;4,261
0;94,993;88,612;61,064;0,638;255;0,778;0,2;43,988;132,6;4,302
0;104,459;98,175;64,328;0,638;255;0,626;-0,132;53,55;143,438;4,356
0;103,874;96,9;65,294;0,638;255;0,686;-0,079;52,275;142,162;4,324
0;98,554;96,9;61,144;0,638;255;0,806;0,315;45,9;134,512;4,192
1;120,015;121,125;64,718;0,638;255;0,334;-0,479;66,938;156,825;4,373
0;83,675;68,212;59,87;0,638;255;0,84;0,195;33,788;126,225;4,29
0;84,638;68,85;60,495;0,638;255;0,855;0,224;33,788;127,5;4,246
0;98,815;90,525;65,869;0,638;255;0,706;-0,1;45,9;138,975;4,358
0;89,203;83,512;60,237;0,638;255;0,72;0,087;36,338;130,05;4,287
0;81,504;67,575;58,979;0,638;255;0,873;0,374;31,875;123,038;4,235
0;88,492;80,325;60,273;0,638;255;0,769;0,143;36,338;129,412;4,285
0;86,709;75,862;61,602;0,638;255;0,781;0,081;33,15;129,412;4,271
0;89,663;78,412;61,634;0,638;255;0,825;0,221;40,8;128,137;4,348
0;84,555;67,575;62,014;0,638;255;0,889;0,225;33,15;126,862;4,277
0;93,252;89,887;61,73;0,638;255;0,714;0,036;38,25;133,875;4,243
0;81,9;62,475;60,738;0,638;255;0,93;0,402;31,238;124,95;4,162
0;84,286;67,575;61,657;0,638;255;0,88;0,24;33,15;126,862;4,259
0;80,234;61,2;59,792;0,638;255;0,938;0,428;30,6;123,038;4,204
0;89,107;75,225;63,098;0,638;255;0,872;0,202;35,062;130,688;4,199
0;88,356;67,575;59,31;0,638;255;0,905;0,298;37,612;132,6;3,997
0;89,107;75,225;63,098;0,638;255;0,872;0,202;35,062;130,688;4,199
0;88,604;72,675;60,789;0,638;255;0,9;0,375;37,612;130,05;4,151
0;83,773;66,3;61,096;0,638;255;0,903;0,316;33,15;126,225;4,23
0;90,111;79,05;61,756;0,638;255;0,783;0,131;40,162;130,688;4,341
0;85,231;68,85;62,345;0,638;255;0,88;0,228;32,513;127,5;4,215
0;84,447;68,85;60,319;0,638;255;0,851;0,229;33,788;126,862;4,258
0;80,14;59,925;59,542;0,638;255;0,954;0,49;30,6;123,038;4,159
0;78,676;61,2;60,345;0,638;255;0,957;0,528;28,05;120,488;4,193
0;86,474;71,4;62,269;0,638;255;0,815;0,07;33,788;130,05;4,28
0;80,329;59,925;59,995;0,638;255;0,951;0,441;31,238;123,675;4,193
0;82,231;66,3;59,652;0,638;255;0,875;0,319;32,513;124,312;4,252
